date,year,month,day,centroid_lat,centroid_lon,elev_m,u2_ms,tmin_c,tmax_c,srad_wm2,ea_kpa,pair_kpa,prcp_mm,etr_mm,eto_mm
2013-03-31,2013,3,31,46.1500000000,-105.8083333000,776.2399902344,2.0194678307,-3.1499938965,8.3500061035,114.8000030518,0.4628820892,92.4546677394,0.0000000000,2.2999999523,1.7000000477
2013-04-01,2013,4,1,46.1500000000,-105.8083333000,776.2399902344,1.4211069345,-4.9499816895,11.1499938965,233.1000061035,0.4243754917,92.4546677394,0.0000000000,2.9000000954,2.2999999523
2013-04-02,2013,4,2,46.1500000000,-105.8083333000,776.2399902344,2.3186483383,-3.9499816895,16.7500000000,234.9000091553,0.4347438528,92.4546677394,0.0000000000,4.7000002861,3.4000000954
2013-04-03,2013,4,3,46.1500000000,-105.8083333000,776.2399902344,3.6649599075,1.6499938965,19.4500122070,223.3000030518,0.5354191793,92.4546677394,0.0000000000,6.4000000954,4.4000000954
2013-04-04,2013,4,4,46.1500000000,-105.8083333000,776.2399902344,3.0665991306,-0.5499877930,15.1499938965,205.4000091553,0.5383789493,92.4546677394,0.0000000000,4.5000000000,3.2000000477
2013-04-05,2013,4,5,46.1500000000,-105.8083333000,776.2399902344,2.8422138691,1.2500000000,22.3500061035,214.0000000000,0.6241814061,92.4546677394,0.6000000238,6.2000002861,4.3000001907
2013-04-06,2013,4,6,46.1500000000,-105.8083333000,776.2399902344,3.7397549152,5.0500183105,19.2500000000,227.8000030518,0.5901635297,92.4546677394,0.0000000000,6.5999999046,4.5000000000
2013-04-07,2013,4,7,46.1500000000,-105.8083333000,776.2399902344,1.6454923153,4.3500061035,19.2500000000,215.0000000000,0.5679728047,92.4546677394,0.6999999881,4.5999999046,3.4000000954
2013-04-08,2013,4,8,46.1500000000,-105.8083333000,776.2399902344,4.6372966766,-9.2500000000,9.2500000000,75.0999984741,0.5324593031,92.4546677394,5.8000001907,2.0000000000,1.3999999762
2013-04-09,2013,4,9,46.1500000000,-105.8083333000,776.2399902344,3.4405746460,-12.6499938965,-1.2500000000,144.3000030518,0.2850579966,92.4546677394,0.0000000000,1.3000000715,1.0000000000
2013-04-10,2013,4,10,46.1500000000,-105.8083333000,776.2399902344,1.6454923153,-10.3500061035,5.6499938965,246.6999969482,0.3265734557,92.4546677394,0.0000000000,2.4000000954,1.8999999762
2013-04-11,2013,4,11,46.1500000000,-105.8083333000,776.2399902344,2.7674188614,-6.4499816895,11.6499938965,96.9000015259,0.4614012802,92.4546677394,1.0000000000,3.0000000000,2.0000000000
2013-04-12,2013,4,12,46.1500000000,-105.8083333000,776.2399902344,2.1690580845,-1.7500000000,9.0500183105,130.1999969482,0.5990386759,92.4546677394,4.4000000954,2.0000000000,1.6000000238
2013-04-13,2013,4,13,46.1500000000,-105.8083333000,776.2399902344,3.0665991306,-4.2500000000,14.6499938965,173.3000030518,0.4791696648,92.4546677394,2.2000000477,4.3000001907,3.0000000000
2013-04-14,2013,4,14,46.1500000000,-105.8083333000,776.2399902344,3.3657796383,-5.3500061035,7.1499938965,187.5000000000,0.5635341822,92.4546677394,8.5000000000,1.8999999762,1.5000000000
2013-04-15,2013,4,15,46.1500000000,-105.8083333000,776.2399902344,3.6649599075,-6.7500000000,4.6499938965,120.0999984741,0.3740023961,92.4546677394,0.4000000060,2.2000000477,1.6000000238
