ET Cell ID	ET Cell Name	Ref ET MET ID	Met Latitude	Met Longitude	Met Elevation (feet)	Area weighted average Permeability - in/hr	Area weighted average WHC - in/ft	Average soil depth - in	Hydrologic Group (A-C) (A='coarse'  B='medium')	Hydrologic Group  (1-3) (1='coarse' 2='medium')	Aridity Rating (fromHuntington plus google)	Ref ET Data Path
454	454	150108	  44.9000	-107.3080	4398.03	-999	1.9200	60	B	2	50	
455	455	150108	  44.9000	-107.3080	4398.03	-999	2.1600	60	B	2	50	
456	456	150111	  44.9000	-107.1830	3853.81	-999	1.9200	60	B	2	50	
457	457	150107	  44.9000	-107.3500	4793.31	-999	1.9200	60	B	2	50	
458	458	150109	  44.9000	-107.2670	4124.41	-999	2.1600	60	B	2	50	
459	459	150114	  44.9000	-107.0580	3786.35	-999	1.9200	60	B	2	50	
46	46	152883	  44.8170	-107.1830	4187.27	-999	1.9200	60	B	2	50	
460	460	150111	  44.9000	-107.1830	3853.81	-999	1.9200	60	B	2	50	
461	461	150112	  44.9000	-107.1420	3838.98	-999	1.9200	60	B	2	50	
462	462	150111	  44.9000	-107.1830	3853.81	-999	1.9200	60	B	2	50	
463	463	150107	  44.9000	-107.3500	4793.31	-999	1.4400	60	B	2	50	
464	464	150111	  44.9000	-107.1830	3853.81	-999	1.9200	60	B	2	50	
465	465	150109	  44.9000	-107.2670	4124.41	-999	2.0882	60	B	2	50	
466	466	150108	  44.9000	-107.3080	4398.03	-999	1.9200	60	B	2	50	
467	467	150115	  44.9000	-107.0170	3804.72	-999	1.9200	60	B	2	50	
468	468	150110	  44.9000	-107.2250	3978.87	-999	1.9200	60	B	2	50	
469	469	150108	  44.9000	-107.3080	4398.03	-999	1.9200	60	B	2	50	
47	47	152881	  44.8170	-107.2670	4554.72	-999	1.5600	60	B	2	50	
470	470	150108	  44.9000	-107.3080	4398.03	-999	2.1600	60	B	2	50	
471	471	150112	  44.9000	-107.1420	3838.98	-999	1.9200	60	B	2	50	
472	472	150108	  44.9000	-107.3080	4398.03	-999	2.1600	60	B	2	50	
473	473	150109	  44.9000	-107.2670	4124.41	-999	2.1600	60	B	2	50	
474	474	150119	  44.9000	-106.8500	3671.13	-999	1.9200	60	B	2	50	
475	475	150108	  44.9000	-107.3080	4398.03	-999	1.9200	60	B	2	50	
476	476	150108	  44.9000	-107.3080	4398.03	-999	2.0736	60	B	2	50	
477	477	150109	  44.9000	-107.2670	4124.41	-999	2.1600	60	B	2	50	
478	478	150111	  44.9000	-107.1830	3853.81	-999	1.9200	60	B	2	50	
479	479	150111	  44.9000	-107.1830	3853.81	-999	1.9200	60	B	2	50	
48	48	157047	  44.6920	-106.9330	4106.43	-999	1.6800	60	B	2	50	
480	480	150109	  44.9000	-107.2670	4124.41	-999	2.1600	60	B	2	50	
481	481	150110	  44.9000	-107.2250	3978.87	-999	1.9200	60	B	2	50	
482	482	150109	  44.9000	-107.2670	4124.41	-999	1.9200	60	B	2	50	
483	483	150109	  44.9000	-107.2670	4124.41	-999	2.1557	60	B	2	50	
484	484	150109	  44.9000	-107.2670	4124.41	-999	2.0774	60	B	2	50	
485	485	150111	  44.9000	-107.1830	3853.81	-999	1.9200	60	B	2	50	
486	486	150109	  44.9000	-107.2670	4124.41	-999	2.1600	60	B	2	50	
487	487	150110	  44.9000	-107.2250	3978.87	-999	1.9200	60	B	2	50	
488	488	150111	  44.9000	-107.1830	3853.81	-999	1.9200	60	B	2	50	
489	489	150111	  44.9000	-107.1830	3853.81	-999	1.9200	60	B	2	50	
49	49	157047	  44.6920	-106.9330	4106.43	-999	1.6800	60	B	2	50	
